post_id,permalink,post_message,type,date_posted,lifetime_unique_video_views,lifetime_unique_30s_views,lifetime_unique_watches_at_95p,lifetime_unique_60s_video_views
102088165248724_2005715029580458,https://www.facebook.com/sugboanongsimbahan/videos/2005715029580458/,"RCAC VLOGS | Let's remember with thanksgiving the Triduum Celebrations during the Opening of the 500 Years of Christianity in the Archdiocese of Cebu. With our very own Ka-Arats G, Josh Gabriel Acedillo. Journey with him as he joins in the celebrations of 500 years of Christianity in the Philippines from Day 1 - April 11, 2021, until Day 4 - April 14, 2021  For the Day 003 VLOG: CLICK THE LINK TO WATCH THE FULL VIDEO  https://youtu.be/AmjnE0oGicI  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON OUR VARIOUS SOCIAL MEDIA PLATFORMS  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,4/30/21 4:00 AM,468,64,11,11
102088165248724_503125914053642,https://www.facebook.com/sugboanongsimbahan/videos/503125914053642/,"Here's some snippets during the Day Two Triduum in the Celebration of 500 Years of Christianity in the Philippines with the following events:  - Confirmation of 100 Faithful at the National Shrine of Saint Joseph, Mandaue City.  - Motorcade of Jubillee Cross and the Pilgrim Image of Sto. Niño around Cebu City and City of Talisay.  - Chronos et Kairos - God's Time in Philippine Liturgical Seasons (Dance Drama) at The Terraces, Ayala Center Cebu  #SugboanongSimbahan????  #RCACNowOnline????  #500YoCCebu????  #GiftedToGiveCebu?? #JubileeCelebrations",Video,4/12/21 5:00 PM,762,170,44,105
102088165248724_942837949793449,https://www.facebook.com/sugboanongsimbahan/videos/942837949793449/,"LET US REJOICE | Despite and in spite of everything, there is nothing that can affect God's love for us. Cebu Archbishop Jose S. Palma shares his reflections on the reasons why we should hold onto rejoicing in the Lord, and why we should take personally God's message of Love.  Like and follow us to get notified whenever we post updates. #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu",Video,3/13/21 2:00 PM,2130,434,104,308
102088165248724_885206778969732,https://www.facebook.com/sugboanongsimbahan/videos/885206778969732/,"THE ARCHBISHOP IS FINALLY BACK! On this 3rd Sunday of Lent, Cebu Archbishop Jose S. Palma shares how important cleansing ourselves is in preparation for the Easter and the 500 Years of Christianity in the Philippines.   Share this to your friends.  #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu",Video,3/6/21 2:00 PM,2041,469,118,319
102088165248724_440588293840757,https://www.facebook.com/sugboanongsimbahan/videos/440588293840757/,"WE ARE AN EASTER PEOPLE, ALLELUIA IS OUR SONG!  Cebu Archbishop Jose S. Palma joyfully greets everyone on the most hopeful event in the life of the Church. Let us continue to be missionary disciples in our own ways. #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu",Video,4/3/21 1:00 PM,1507,237,67,149
102088165248724_3823294224458446,https://www.facebook.com/sugboanongsimbahan/videos/3823294224458446/,PAANO NA LANG AKO KUNG WALA KA? |  Cebu Archbishop Jose S. Palma reflects on the importance of remaining in God always. #SugboanongSimbahan,Video,5/1/21 3:00 PM,2304,460,118,329
102088165248724_1455397631459129,https://www.facebook.com/sugboanongsimbahan/videos/1455397631459129/,Cebu Archbishop Jose S. Palma shares his reflections on the Readings of the 5th Sunday in Ordinary Time. Share this to your friends. #SugboanongSimbahan #RCACnowOnline #500YoCCebu #GiftedToGiveCebu,Video,2/6/21 3:30 PM,727,162,32,105
102088165248724_416850746288273,https://www.facebook.com/sugboanongsimbahan/videos/416850746288273/,"What does it take to be a missionary disciple? How can we continue the missionary work, like preaching thhe Gospel to all? Here, CEBU ARCHBISHOP JOSE S. PALMA shares his reflections on the 4th Sunday in the Ordinary Time.   This is the Official Facebook Page of the Roman Catholic Archdiocese of Cebu. #sugboanongsimbahan",Video,1/30/21 3:00 PM,1982,383,94,260
102088165248724_268901421595638,https://www.facebook.com/sugboanongsimbahan/videos/268901421595638/,"One concrete way to express our obedience to the Lord is to love one another. Our mothers know this firsthand. Today, we thank the gift of our mothers as we listen to Cebu Archbishop Jose S. Palma as he shares his reflections about this occasion in relation to the 6th Sunday of Easter. #SugboanongSimbahan",Video,5/8/21 3:00 PM,1086,236,60,156
102088165248724_314022920143915,https://www.facebook.com/sugboanongsimbahan/videos/314022920143915/,"Here's some snippets during the Day Three Triduum in the Celebration of 500 Years of Christianity in the Philippines with the following events: - Holy Mass with Adult Baptism at the National Shrine of Nuestra Señora Virgen de Regla -Musica Sacra in 500 Voices - God's Voice in the Filipino Soul (Chroal Concert) at the Liberty Shrine, Lapu-Lapu City, Cebu  #SugboanongSimbahan????  #RCACNowOnline????  #500YoCCebu????  #GiftedToGiveCebu?? #JubileeCelebrations",Video,4/13/21 7:50 PM,1428,418,93,263
